RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
102001,0,United States,country,,1195.7191671277399,1202.219551156032,1211.1294102257314,1220.137128026031,1229.3645895289765,1237.248991348866,1243.166558745431,1246.7956681990777,1248.8541995695387,1249.3677000945572,1249.8741999114209,1250.2412275551121,1253.3814428673734,1258.331158685368,1264.7135900585924,1272.54410623633,1280.7589729413212,1288.9606690074922,1293.8101424430993,1296.0356645247982,1295.9515363614485,1294.4539020868026,1293.2621356231757,1292.4260520755597,1297.1247946411563,1304.7985251701439,1316.4624089920662,1326.1956613342818,1335.5542899113555,1342.6892274238908,1347.6371218658007,1349.3258396208046,1349.6584656526927,1348.1757839497898,1347.9860575833186,1348.8963441377166,1353.6735535502667,1361.1582644386083,1370.7334048947562,1380.3914348610442,1388.6953495297373,1396.3105873771965,1401.773767478773,1405.050854718849,1404.4958432038297,1403.7218270293426,1404.3566619596486,1406.4400053719212,1410.756282492893,1416.8667462770138,1427.1672935681363,1437.2893051542676,1447.205535017554,1455.2419302722396,1461.1922020363702,1464.3474340077717,1464.27036711428,1462.8964138772221,1461.8754861290042,1463.0306123030418,1468.1641196584408,1476.3117959342167,1484.6119979833468,1485.2575659817467,1484.2031029708478,1484.4208313295687,1489.582614959877,1490.9801107596684,1488.4523404821477,1485.5378175419269,1484.2816431389833,1486.4487932138722,1493.4694892964117,1504.8723060852326,1520.1845204432764,1539.8551217147767,1565.803927695824,1596.0719280796488,1628.001733273043,1657.609610228906,1681.5913010631134,1696.6516034309109,1706.4938853135657,1716.1124317019587,1726.9086423659676,1742.4306076684218,1758.471421567866,1779.4675878163853,1800.6826764390598,1823.0340970464354,1841.557889683187,1852.118104883377,1854.7743508757223,1850.402668530524,1844.408046460254,1841.4181953505827,1843.5039825734823,1850.5290087202402,1862.9281329488329,1874.2469962272485,1886.7850964080797,1895.0501539271434,1904.4735941736553,1909.8137544038452,1911.2459492025914,1908.1737757875342,1903.1110892177471,1900.3921136854472,1904.2935190084575,1913.8483591988117,1926.5699312202887,1939.0837843302213,1951.0992673881428,1961.5322160325782,1969.7036364687099,1973.698072007506,1974.704525668766,1970.929209375687,1967.8449668302032,1964.7949112382119
394913,1,"New York, NY",msa,NY,2225.2969110542786,2239.809664910609,2257.620083915317,2277.671725139411,2292.9184187030123,2308.5557663116742,2318.6687156912135,2328.1874394041047,2332.284819839656,2330.4560940403217,2321.7972410847688,2312.760898318245,2309.4732522458476,2313.6046776819758,2321.3508470282636,2333.746798139471,2347.8472029725817,2362.646404353646,2374.981243641802,2378.8393620488014,2379.367573476402,2371.95633603214,2367.032820920827,2355.5719238871907,2352.1867311713245,2353.028240205089,2364.4987784922687,2378.83418436278,2396.428614322752,2411.1353100587376,2421.488424031812,2424.046853450609,2422.0505314846228,2408.6197190829025,2393.1199312795575,2379.862701966832,2378.2550273492607,2385.2795371484167,2397.6926217433484,2416.9872786417627,2434.7668259325565,2452.194295847831,2464.29452548126,2473.4380249688297,2474.1709975020035,2464.91003722564,2454.4185346917216,2443.9029330192657,2443.9621466327594,2452.1733340815845,2467.806677428163,2484.6427150705517,2504.6987521647134,2525.8237286421668,2541.3711580873887,2548.2907077072837,2546.469537955848,2541.4791223143648,2529.7019544826376,2522.364139719183,2521.7976636274584,2534.739104230992,2544.0153680790245,2538.0021879463707,2521.670166519268,2499.0626569268525,2474.756767318729,,,2335.4019925031275,2304.1744457256086,2291.5377276299987,2289.7165169553373,2302.969907112604,2324.3757476304745,2352.40520062535,2396.0979009035414,2449.7091582388257,2510.957485665383,2569.7427940418843,2616.786475790108,2649.3290677927107,2670.12103336679,2689.994249902664,2713.394384009411,2745.582710784074,2783.5533337330203,2824.3982382570543,2874.9556119891604,2927.772979431106,2975.93038104798,3003.2230668470374,3006.609134241913,2990.491293245257,2964.5227509694505,2944.329512756698,2941.0694966754577,2953.507101543652,2980.027938050329,3012.9558053999235,3048.39066925287,3079.219942269529,3101.026558038908,3111.2782115024784,3110.507583542072,3096.1330669342287,3073.59902419625,3057.3938430146018,3061.028864482266,3079.3585678393765,3109.7198979056348,3137.7894252154947,3169.752421787487,3197.434496725808,3214.51443774409,3219.5471421920324,3208.7724754768715,3194.4280356126415,3183.0505125006694,3176.778358102236
753899,2,"Los Angeles, CA",msa,CA,1802.2813796369012,1814.6939042354068,1830.6115216826147,1844.188998950233,1858.5836073406915,1869.9345297619604,1883.718614228201,1894.2637783529285,1904.3244489162375,1909.5506001066897,1914.1139774673532,1919.9965606494413,1929.564689876492,1941.4876045089025,1953.7620669390121,1963.6114928072247,1976.8878215030732,1989.362552347522,2002.2898769443807,2008.4476589257868,2013.6692382356503,2014.8080364541886,2017.4805210842546,2020.2719853682206,2034.609609774768,2050.894623442941,2072.488214537772,2086.0598302978187,2099.249284952423,2108.1255644708326,2117.8437871130996,2122.9826102576703,2128.2117981153074,2129.8150413909375,2135.126267781283,2139.2345647459783,2150.228557767291,2161.847945798065,2173.623557065659,2182.844739564516,2190.4758845603333,2201.9112595808647,2212.0364436147133,2221.3257337401,2225.3263761245767,2229.2416516195585,2234.9512449415515,2240.53849501982,2245.9808462532624,2250.0751114925038,2261.795603629392,2272.180957502487,2284.542078076554,2293.2551271310176,2301.916332050221,2308.445317397502,2312.3287506565525,2314.7398979172544,2317.4791327026046,2320.9517985595226,2327.9159248817605,2332.513048499056,2332.7114754628237,2320.1047159523755,2308.2855139656244,2301.4053752091377,2303.206901854188,2303.4905074822677,2303.0023464159726,2304.0574633804144,2306.009049283168,2305.946234812333,2313.5698955731928,2322.574386017312,2337.4228299462065,2349.1029146057817,2369.82432013755,2404.1785795554556,2451.552498017762,2505.5858183260516,2547.469366010881,2573.6132300262475,2588.3110520364976,2606.0131729229324,2625.4957843270777,2651.5854840977076,2676.2147988140146,2706.963454023561,2732.72183718292,2757.3508660762104,2777.3243190984876,2792.0886606316176,2797.8167220313176,2792.6970217048965,2784.9637083845673,2777.6625428431853,2777.1104262127797,2782.8929405607773,2796.751720784237,2809.08198158418,2818.868088747402,2826.9007692320106,2838.8830122776503,2850.7334468135673,2853.7511604117567,2850.7670876765237,2837.866169227803,2831.2093873265458,2836.181759511928,2849.748053330149,2866.862473820186,2877.906520207539,2892.5955483158277,2905.9781097783707,2919.3486073486933,2925.0425387061714,2929.041333197034,2926.1033041659775,2922.512112389779,2915.976563557082
394463,3,"Chicago, IL",msa,IL,1352.2362872553697,1358.9572578937218,1368.3085383408559,1377.119242846128,1387.1046160312912,1396.3411273220183,1400.766592521909,1403.4191738865889,1398.6398598245403,1391.7686352040346,1385.5217180389636,1385.76843733758,1393.4236957413675,1402.33027535727,1413.3203091363566,1420.5339327536765,1428.206441273491,1435.8890949378258,1441.9481182878205,1445.4041433772084,1438.6614493763136,1429.0788056098825,1417.7756543212977,1412.407682101096,1418.475264814951,1431.9756764285853,1449.8791153861182,1462.9598812164033,1474.2001676052028,1479.7721525815268,1481.5040581097094,1476.834303313383,1471.1639213545582,1460.4772349491452,1454.1298100008532,1451.5592853829833,1459.5576065798293,1470.519989017591,1483.3957858600386,1494.2999800685304,1503.9985189332776,1512.3318327373102,1516.5959361309513,1514.6281199744337,1505.0848741358461,1494.227863764737,1487.3643460848093,1488.3750085040597,1497.1070516723742,1507.0754222288376,1521.6467419831022,1533.88949874509,1545.5926996387145,1552.2387782183557,1555.2893817950921,1554.8879196803252,1550.2647205460478,1543.941644055347,1537.2512328841417,1532.9038322175334,1541.001080544678,1552.4625445942916,1566.6202248610573,1567.7782948316672,1566.5864538416338,1563.6149078530868,1562.6876074212287,1557.2345122157265,1543.5019303400322,1523.076501966336,1505.901382673076,1498.4049091484737,1500.345309313748,1511.1661561584963,1527.4639964787327,1552.6256981112,1578.6449258851326,1603.4228474743845,1622.267425790914,1635.208199353225,1642.6978206837261,1642.4115333006475,1642.5255785082222,1646.9948328663693,1659.9300621741672,1674.8519093444927,1694.2807502964847,1716.9126487115825,1742.2071488323782,1762.3227253103312,1778.4122384591474,1785.8643953678265,1787.0005875440472,1783.1180269668516,1778.0448516508568,1778.2596707545179,1784.9996580956029,1799.0390518098839,1816.6439773046711,1834.6930969151151,1855.161214513959,1873.4805419579995,1885.6098958463142,1891.890962922229,1888.3286470825778,1880.3194197012476,1872.0527743935718,1874.305284145616,1883.779228369438,1899.116950690245,1913.7795449599557,1934.0803417896684,1951.9899976391882,1968.8755442844315,1977.6734453904169,1980.8483651898166,1979.3067472431067,1977.8593444771407,1979.1275141426495,1982.5427556883826
394514,4,"Dallas, TX",msa,TX,1082.3759561710697,1087.330624698591,1094.9465840612452,1106.7220842332777,1116.3489102981248,1124.535127942163,1130.9310839220134,1134.604349100167,1136.0395621187304,1135.8865335959415,1136.7602750834335,1138.4903679128508,1140.2127495984746,1145.792386192717,1154.2796060654218,1165.08678866362,1173.5022687512037,1180.3044039650856,1185.0411005528556,1188.4476945635688,1189.011591947582,1189.453466472285,1189.4115638050328,1189.8728252445487,1194.6826031829005,1200.5194530753856,1213.0104509104544,1222.4447584837646,1234.7325706131155,1240.8830553538314,1245.7880997633179,1247.2667198001714,1246.3772843223765,1244.2364630097186,1245.3914001427233,1246.2022848517497,1250.803827429471,1256.675509323948,1263.881716901409,1271.3745603044672,1276.2904966669125,1284.4302916620816,1288.3644200117983,1290.514107525508,1287.8161643006686,1289.6526890473829,1290.4448605926755,1292.9602456889993,1295.3917216639134,1300.0002294181872,1311.1357840405626,1320.5934904471071,1329.5762597978407,1336.137361824421,1339.3298623666863,1341.6299858263387,1340.68450278509,1339.803457118777,1337.6450829347325,1333.9488774561921,1336.4434759486735,1342.269159280997,1350.8708090003545,1351.388027034155,1350.6690779839296,1351.5153462753563,1355.869759062011,1359.83439290324,1361.914208595092,1364.673752476827,1366.3073384302882,1369.6566948201826,1375.4846360737033,1385.6444226856945,1396.845386792972,1415.368097415107,1440.033899670734,1473.5195760094043,1507.9327718019015,1539.5155951456743,1562.867469970545,1577.0475216479542,1589.2712383098358,1599.1512013623121,1610.5936974480655,1622.1033254375875,1635.35145204361,1654.6813476452094,1677.0722508630458,1705.7767012459456,1726.53025925889,1734.3070508151302,1729.4258510991983,1716.2741859981961,1706.3805868423842,1697.8926402776483,1697.7256514384655,1700.5276401886247,1711.8401417186535,1716.5535547821885,1724.5075525420993,1728.0909923858594,1736.0223471582071,1737.1691640862075,1732.4031409143581,1724.751117011509,1717.6753726298227,1710.3668843185878,1707.1967072608188,1706.1542956577841,1711.9383090313281,1717.889974199596,1726.0985689240395,1732.176843120284,1738.0590883191985,1740.466227554025,1736.8391712277746,1729.846406397953,1721.806843888733,1715.7833764854904
394692,5,"Houston, TX",msa,TX,1221.6698215214722,1225.3920803391272,1232.0655207288405,1242.1359419832208,1251.6021417188522,1259.809502868552,1261.983894847437,1263.3580631191405,1260.9288797429676,1257.3728434997256,1253.462769281251,1250.5405487585165,1251.5546022819728,1254.1004292012688,1260.3893211545767,1264.4141169998861,1267.1756730228342,1268.0664587266713,1267.795402281239,1265.211794004873,1259.7613172722224,1255.9755926134385,1250.8459512662255,1248.7388081087022,1249.5726817875216,1257.5663171103565,1265.8633089956686,1270.7884721771757,1278.006456561423,1279.8637993805528,1280.6309769474126,1275.6223193635876,1282.6750817395928,1290.6864579089654,1301.7656108599263,1307.0245073450296,1310.3797369038687,1315.973092639516,1317.6897993468417,1324.5580326727131,1327.2898618166528,1332.6864364547712,1332.6073990474088,1331.0128857492743,1326.990226159307,1327.5570931548573,1329.9552787241234,1330.2101204095447,1331.0738792128307,1329.9413205080757,1336.999092447919,1341.9096378829743,1350.8297756986606,1356.590984312127,1360.2212254288147,1359.532195187938,1356.4857650900813,1355.8011160786355,1355.7163395647335,1359.0037899649851,1361.8657152125325,1368.566965800971,1373.8670031055085,1371.1613792300934,1364.0592238926529,1358.5024310878362,1362.3069332822438,1367.4718411896165,1368.4483466855293,1370.8493576451006,1372.5669470829253,1373.6504665868513,1375.459089057817,1376.4207423874693,1384.4372496777466,1397.112654267624,1418.611782595282,1446.3734492588865,1472.0076912980894,1495.8078194462444,1509.4761631117583,1517.133450374636,1521.1429509786328,1525.2439514858647,1532.0922008414543,1542.0496806057913,1552.5609121401842,1565.594885559517,1577.8540541515727,1593.4103790924416,1605.577138726942,1612.087610345853,1609.7808702609934,1604.079280622849,1597.73318669706,1596.0942961945966,1599.9201241276244,1607.9889993318102,1619.8908008791434,1626.3190770978292,1636.2510199769108,1643.7913239129762,1650.640629192127,1651.5849361418093,1646.7552788942073,1640.8083079767582,1635.0725128467845,1633.5903952720084,1637.568943869578,1644.2581872064668,1650.8300599449997,1659.8358645367891,1669.6535259087352,1679.3789610423867,1684.3126592908663,1686.7506703836702,1687.3939536068099,1685.7579780155422,1680.7873036777273,1676.206282032054
395209,6,"Washington, DC",msa,VA,1707.002381287338,1713.7629485528307,1725.1510204660049,1733.581572350829,1742.9637018678332,1749.8758908706254,1753.9660554971974,1751.6842481946937,1750.890768288751,1745.87526837346,1745.5360446594484,1741.132118715187,1744.8734591495702,1748.1163546988466,1756.3187446599125,1763.86037559404,1773.0606970319059,1779.6905139105309,1783.728260649234,1784.3905362909818,1780.7600387832576,1775.0490537275093,1769.8251286858344,1766.9909682740176,1772.477926890482,1783.633530980663,1797.2864552717233,1808.0720237284766,1814.6806654115692,1822.0160384250166,1825.295284570407,1825.0053305753904,1822.7512656130195,1817.6363576350573,1811.7828467713446,1807.723233383453,1810.257735240849,1817.1335277297474,1829.542182816695,1841.5582297999404,1852.9730967944843,1861.5193005779909,1867.233556021372,1871.5935643545633,1866.897408424923,1864.2386571084703,1864.7434642523508,1869.6531205186795,1874.051729736156,1879.896577646985,1889.1816366212213,1900.5878272363464,1911.5233442280817,1920.9684958060395,1926.1790222496836,1927.542275085899,1927.0112095045329,1921.0837051884548,1914.975799852225,1915.3485329812702,1924.2793706673963,1933.6254341868882,1943.2573299305093,1941.9115130744688,1939.3381259423622,1932.70069047433,1931.1054999072433,1926.5325940485222,1912.8365799543833,1895.5987074806242,1875.5700063107424,1865.1117635498813,1866.5624260032596,1874.9165751068626,1885.3879242921755,1900.3883417579527,1928.2183115361959,1965.7251892691418,2003.7411348683972,2034.9281256656914,2054.04385340267,2064.0339919625517,2064.645856281333,2065.180715858779,2066.959129150368,2078.5935192486572,2096.9478329355097,2120.673616808027,2146.171385202651,2171.970502193345,2196.4457610518825,2208.0637507436477,2207.9219445111644,2191.566769767595,2174.846195315985,2162.0278070064837,2164.6247251893574,2176.9402155236176,2200.3949863755,2216.436760024208,2234.547738838844,2245.9604799917956,2262.2128072535706,2272.19923200258,2275.505509607387,2271.2224688751976,2263.5285192329998,2256.2760464837133,2261.842837179378,2278.513536255231,2302.553698080215,2322.6893987830763,2340.824089576912,2359.670050367952,2375.4728100287552,2383.2244779631305,2382.780218366504,2372.798426048252,2365.752182601831,2358.560269950361
394974,7,"Philadelphia, PA",msa,PA,1220.2553443923052,1227.0092565058703,1239.5687255035834,1246.4751470557612,1252.0270315660734,1254.855305421678,1256.8533278566126,1257.8826892033464,1257.5409596542208,1256.984508436954,1252.9122424585235,1249.1598790360601,1250.0154870135984,1258.589833021028,1268.334627324599,1277.380752040385,1283.3923591050905,1290.5931758739146,1291.605390803376,1291.236485442035,1288.2406057347246,1286.597269673284,1288.9371402735544,1288.8304213088134,1293.5444317571853,1299.186592692215,1310.8116422590206,1319.3877436902926,1325.3522558192449,1326.4052081461755,1326.827197319399,1326.780346289882,1326.3272212492493,1325.8274750665173,1324.8119921307261,1327.6737863124317,1331.240788697152,1338.9449898930523,1349.6138703685067,1359.5426009801738,1368.3560337478225,1371.9495436715877,1372.598626840287,1371.5833566208705,1369.9958575797398,1371.834233330925,1375.3435471949053,1375.9614089067338,1380.2540808194801,1387.1326538782855,1401.0901347484266,1412.0418809589642,1418.7895156269774,1425.8195833308341,1429.1081323472822,1429.338116663198,1425.7579971395965,1424.995898053289,1425.1588651213751,1428.4436868338564,1431.7496221549336,1442.5982527117615,1452.522110643641,1456.8938481677658,1456.9860743774475,1457.754139016721,1463.3104084064737,1463.610544058949,1462.8561190775708,1461.900804931994,1463.6162556603651,1467.1804854931925,1471.8598246371794,1478.7821458165772,1487.285592292253,1502.8856904665174,1524.4625659195053,1545.6672321687279,1565.225341695322,1582.1930128938557,1590.8637979155308,1600.5049771516385,1608.903673669071,1626.1670888778353,1636.0871749884898,1647.67514391515,1657.8002664607047,1672.2441170748602,1686.326756953695,1701.6722413510702,1714.8005922417617,1721.5471089658342,1722.6008466874414,1717.8439508452818,1715.5345421703128,1712.3809833948806,1716.5117784158067,1718.7866182749817,1729.9598354301027,1738.7613176596171,1750.5074279833673,1755.6511141223632,1764.2983582547963,1771.1498248228477,1780.0642172311686,1783.207963782453,1784.082348282663,1780.8997517999126,1782.48573966738,1790.076864782041,1800.1111686254133,1808.584302009543,1816.158944876861,1825.4224756392678,1834.6972028852285,1842.4797012744255,1847.5100248238812,1851.4074896405996,1852.9971192018231,1857.5214614447734
394856,8,"Miami, FL",msa,FL,1476.0186702922645,1482.0155829384669,1487.295054171821,1494.203496055005,1502.877374337303,1511.7001683715562,1520.9565116481544,1528.3623862784534,1539.4873273929625,1547.0919429284481,1556.580234506131,1559.3783483077023,1563.3282811920687,1564.8035154185654,1568.2362220033285,1568.7473234624617,1568.3353668616742,1567.7194918328548,1570.3829053243335,1573.204623790144,1578.6108841335742,1581.6570961040932,1585.7319254272434,1585.6141589394697,1590.39853503292,1593.7831844603606,1601.2213343938774,1603.708803444051,1606.0502827415253,1608.7924120875582,1614.1451663197838,1621.6406471246485,1628.6809113236397,1634.0192704917015,1635.6773860457618,1636.4002015819683,1638.5643963105572,1641.565505273054,1645.4580033019956,1649.3170265850665,1653.703777665588,1658.9930650568087,1665.0951792411345,1671.652835526862,1676.635778093603,1683.0286988475675,1689.9376175972832,1695.277994932654,1695.2522951198303,1693.580259300287,1694.6383016964946,1698.2167665086233,1703.4347747375548,1707.851425447213,1713.059726440337,1717.8962230085097,1724.0349747277387,1732.6871234027747,1742.2900036948688,1749.303930195416,1751.7361790668372,1755.1517189631418,1755.5137214704084,1749.4575468369312,1739.9410950214,1738.8860316261919,1744.3405849692604,1750.159236319523,1755.7334208368738,1768.7847383142562,1787.039924022014,1802.621200160075,1817.6313407038797,1840.2118397316538,1868.5798661152405,1902.9296309158822,1942.8695473338237,,,2124.411660974812,2183.494052094001,2228.133850920998,2272.8450952391627,2319.741549006492,2362.4563952018216,2397.0663422628527,2434.096329172656,2474.1256894884127,2512.8904461485313,2539.8906488694697,2560.4901087892154,2569.2848682922217,2577.8647786696356,2580.6453966558224,2588.091498700028,2592.2741949646343,2592.859228605084,2595.168432301061,2600.3553666013063,2608.239990348033,2615.847600178197,2622.062513990547,2627.9522733641284,2633.150143996947,2638.1360822735783,2646.499979333781,2651.429231685688,2648.341347575509,2647.30333376689,2655.0373246427193,2667.627345975005,2678.7980988704176,2681.0620571648865,2684.8438211131092,2689.803415692296,2696.128229119666,2703.334683797778,2703.927394272952,2705.366286185517,2703.04678101151
394347,9,"Atlanta, GA",msa,GA,1032.065607322933,1037.48351424088,1040.8022237008518,1051.0425753213237,1058.8644852024076,1070.4664640685494,1076.7121024833423,1080.3161034876007,1081.1130020472763,1081.6262173736443,1082.5550158585966,1086.0186063310223,1090.2091875162407,1097.4861468698268,1104.9765215635605,1112.374091063119,1121.0628245937864,1129.9107957826957,1138.9140809665323,1143.0920713240891,1143.4539814451425,1143.4735392121124,1143.850284380564,1146.0526202467213,1150.394409434593,1158.6751586391897,1170.4329240271172,1182.2490806546339,1194.6506227720506,1205.0329413595427,1214.1003416175645,1218.0497134098523,1220.6059197913282,1217.9523614690743,1219.677107251553,1220.9161631096,1228.2097928726532,1236.1671787170424,1247.6916940473814,1259.7642062994748,1270.8487139858362,1279.608258011146,1285.392045082062,1288.5353166456246,1288.957125699486,1294.2553723469146,1299.3340363539978,1304.5989623545065,1310.2602397640148,1317.92694870704,1330.6189810873705,1341.4274629041934,1351.826590052376,1360.4453994652758,1365.6151220227669,1369.8518722997678,1371.895079961284,1371.2799304466625,1368.8721785067405,1368.7983229395786,1373.768758914359,1382.102627379138,1390.457344885958,1393.2965529358428,1396.8809534238997,1404.1116966910092,1419.543162645887,1433.1035400217247,1442.8806409964152,1449.750070304641,1455.721667872101,1461.9244990879863,1473.8066438263957,1490.6786466322067,1510.2220573526254,1533.1055601421751,1562.0394065488335,1601.4299106440233,1644.622687655178,1688.0911844804973,1719.5744119642716,1738.9611341226991,1746.0743661024412,1749.1296791894395,1752.6385034775676,1759.4744536906637,1772.3426153986895,1786.084496730441,1805.407432114941,1826.4000463514915,1850.4543705346407,1863.0809512398937,1865.5733750528348,1855.6100849991012,1845.3583258560348,1840.663978362883,1839.3353921073328,1845.087939070333,1855.7991398505224,1863.8953805678782,1869.9884781995495,1870.223004115504,1874.9555283220816,1874.7786997343537,1872.2101612148806,1861.3748730448444,1848.2365540729581,1839.4036439774006,1844.3279202575454,1857.593623645036,1865.8190919508259,1872.3331353754136,1878.8573285097154,1887.1390723444808,1892.4038425141116,1890.8147457168377,1894.007172678208,1888.9643963737249,1884.0036831347275,1876.1840880519503
